SecurityID,SecurityCode,AssetClass,Issuer,Currency
115,SEC_00394,Commodities,Counterparty_96,JPY
116,SEC_00871,Real Estate,Counterparty_6,USD
117,SEC_01125,Alternatives,Counterparty_55,INR
118,SEC_01832,Real Estate,Counterparty_83,GBP
119,SEC_01906,Real Estate,Counterparty_80,EUR
120,SEC_01172,Equity,Counterparty_76,JPY
121,SEC_01917,Fixed Income,Counterparty_15,GBP
122,SEC_01254,Alternatives,Counterparty_11,JPY
123,SEC_00087,Alternatives,Counterparty_39,JPY
124,SEC_00523,Alternatives,Counterparty_74,GBP
125,SEC_01672,Equity,Counterparty_51,JPY
126,SEC_00093,Real Estate,Counterparty_37,INR
127,SEC_00804,Equity,Counterparty_49,EUR
128,SEC_00153,Commodities,Counterparty_57,USD
129,SEC_01447,Fixed Income,Counterparty_88,EUR
130,SEC_00354,Fixed Income,Counterparty_100,USD
131,SEC_00879,Equity,Counterparty_65,INR
132,SEC_00608,Real Estate,Counterparty_17,EUR
133,SEC_01598,Alternatives,Counterparty_63,INR
134,SEC_01897,Commodities,Counterparty_14,GBP
135,SEC_00983,Commodities,Counterparty_38,USD
136,SEC_00917,Fixed Income,Counterparty_25,GBP
137,SEC_00915,Real Estate,Counterparty_37,GBP
138,SEC_00409,Alternatives,Counterparty_99,EUR
139,SEC_01111,Fixed Income,Counterparty_86,JPY
140,SEC_00211,Real Estate,Counterparty_56,JPY
141,SEC_01925,Alternatives,Counterparty_7,INR
142,SEC_00383,Equity,Counterparty_11,EUR
143,SEC_01619,Real Estate,Counterparty_74,GBP
144,SEC_01763,Commodities,Counterparty_78,INR
145,SEC_01548,Real Estate,Counterparty_35,GBP
146,SEC_00871,Real Estate,Counterparty_36,INR
147,SEC_01177,Real Estate,Counterparty_70,USD
148,SEC_01029,Alternatives,Counterparty_52,INR
149,SEC_01100,Alternatives,Counterparty_69,INR
150,SEC_00411,Equity,Counterparty_42,GBP
151,SEC_00004,Equity,Counterparty_71,JPY
152,SEC_01396,Alternatives,Counterparty_15,GBP
153,SEC_01107,Alternatives,Counterparty_21,EUR
154,SEC_00941,Fixed Income,Counterparty_82,GBP
155,SEC_00431,Real Estate,Counterparty_1,JPY
156,SEC_01496,Real Estate,Counterparty_68,EUR
157,SEC_01386,Commodities,Counterparty_11,JPY
158,SEC_00412,Alternatives,Counterparty_10,EUR
159,SEC_00035,Alternatives,Counterparty_45,GBP
160,SEC_01266,Equity,Counterparty_56,JPY
161,SEC_01680,Equity,Counterparty_19,JPY
162,SEC_00908,Real Estate,Counterparty_42,USD
163,SEC_00080,Real Estate,Counterparty_94,USD
164,SEC_00075,Alternatives,Counterparty_41,INR
165,SEC_00811,Real Estate,Counterparty_20,USD
166,SEC_00284,Alternatives,Counterparty_27,JPY
167,SEC_00727,Commodities,Counterparty_12,INR
168,SEC_01782,Commodities,Counterparty_78,GBP
169,SEC_01262,Fixed Income,Counterparty_98,INR
170,SEC_00337,Equity,Counterparty_64,EUR
171,SEC_01555,Fixed Income,Counterparty_38,INR
172,SEC_01995,Commodities,Counterparty_66,USD
173,SEC_01988,Real Estate,Counterparty_58,GBP
174,SEC_00586,Equity,Counterparty_96,EUR
175,SEC_01915,Equity,Counterparty_82,INR
176,SEC_00567,Fixed Income,Counterparty_85,GBP
177,SEC_00083,Equity,Counterparty_11,USD
178,SEC_01700,Commodities,Counterparty_30,GBP
179,SEC_00318,Real Estate,Counterparty_64,GBP
180,SEC_00875,Fixed Income,Counterparty_83,EUR
181,SEC_00679,Real Estate,Counterparty_48,JPY
182,SEC_01652,Fixed Income,Counterparty_40,USD
183,SEC_01321,Alternatives,Counterparty_94,EUR
184,SEC_00700,Equity,Counterparty_99,EUR
185,SEC_01791,Alternatives,Counterparty_68,EUR
186,SEC_01366,Equity,Counterparty_21,JPY
187,SEC_00834,Alternatives,Counterparty_5,JPY
188,SEC_00955,Real Estate,Counterparty_36,INR
189,SEC_01889,Commodities,Counterparty_91,INR
190,SEC_01448,Fixed Income,Counterparty_7,USD
191,SEC_00987,Equity,Counterparty_60,USD
192,SEC_00019,Fixed Income,Counterparty_56,JPY
193,SEC_01847,Commodities,Counterparty_31,JPY
194,SEC_01904,Alternatives,Counterparty_84,JPY
195,SEC_00814,Real Estate,Counterparty_25,EUR
196,SEC_00004,Fixed Income,Counterparty_56,JPY
197,SEC_00467,Alternatives,Counterparty_89,EUR
198,SEC_00190,Equity,Counterparty_81,EUR
199,SEC_01305,Fixed Income,Counterparty_79,USD
200,SEC_00063,Fixed Income,Counterparty_74,GBP
201,SEC_01014,Equity,Counterparty_34,INR
202,SEC_01990,Commodities,Counterparty_44,INR
203,SEC_01903,Alternatives,Counterparty_7,USD
204,SEC_01805,Fixed Income,Counterparty_51,USD
205,SEC_01278,Alternatives,Counterparty_25,JPY
206,SEC_01651,Real Estate,Counterparty_28,JPY
207,SEC_01878,Alternatives,Counterparty_42,JPY
208,SEC_01796,Alternatives,Counterparty_27,EUR
209,SEC_01026,Equity,Counterparty_37,EUR
210,SEC_00067,Alternatives,Counterparty_55,JPY
211,SEC_00878,Commodities,Counterparty_38,EUR
212,SEC_01310,Alternatives,Counterparty_56,USD
213,SEC_00132,Real Estate,Counterparty_92,JPY
214,SEC_01072,Alternatives,Counterparty_34,INR
215,SEC_01579,Equity,Counterparty_29,INR
216,SEC_00605,Real Estate,Counterparty_48,EUR
217,SEC_00941,Equity,Counterparty_72,INR
218,SEC_00993,Commodities,Counterparty_77,JPY
219,SEC_01677,Commodities,Counterparty_46,INR
220,SEC_01071,Equity,Counterparty_37,USD
221,SEC_01255,Commodities,Counterparty_3,EUR
222,SEC_01760,Equity,Counterparty_78,INR
223,SEC_00284,Fixed Income,Counterparty_96,EUR
224,SEC_00549,Alternatives,Counterparty_87,USD
225,SEC_01052,Fixed Income,Counterparty_87,INR
226,SEC_01435,Commodities,Counterparty_77,JPY
227,SEC_01497,Equity,Counterparty_50,GBP
228,SEC_01694,Equity,Counterparty_21,INR
229,SEC_00902,Equity,Counterparty_48,USD
230,SEC_01246,Equity,Counterparty_58,GBP
231,SEC_01400,Alternatives,Counterparty_31,INR
232,SEC_01033,Real Estate,Counterparty_7,EUR
233,SEC_00902,Fixed Income,Counterparty_57,USD
234,SEC_01437,Commodities,Counterparty_36,INR
235,SEC_01495,Equity,Counterparty_83,USD
236,SEC_01094,Fixed Income,Counterparty_86,JPY
237,SEC_00342,Real Estate,Counterparty_24,GBP
238,SEC_00066,Fixed Income,Counterparty_24,GBP
239,SEC_00607,Commodities,Counterparty_56,JPY
240,SEC_01717,Equity,Counterparty_85,GBP
241,SEC_01094,Commodities,Counterparty_61,GBP
242,SEC_00746,Equity,Counterparty_77,JPY
243,SEC_01285,Real Estate,Counterparty_70,EUR
244,SEC_00532,Commodities,Counterparty_28,GBP
245,SEC_01420,Fixed Income,Counterparty_32,EUR
246,SEC_01382,Real Estate,Counterparty_77,USD
247,SEC_00358,Commodities,Counterparty_98,USD
248,SEC_01416,Equity,Counterparty_96,GBP
249,SEC_00376,Real Estate,Counterparty_78,USD
250,SEC_01210,Equity,Counterparty_96,JPY
251,SEC_01329,Alternatives,Counterparty_45,GBP
252,SEC_00064,Fixed Income,Counterparty_69,JPY
253,SEC_00178,Equity,Counterparty_99,EUR
254,SEC_00235,Commodities,Counterparty_68,INR
255,SEC_00865,Alternatives,Counterparty_78,INR
256,SEC_00762,Real Estate,Counterparty_18,GBP
257,SEC_01831,Commodities,Counterparty_75,JPY
258,SEC_00040,Real Estate,Counterparty_83,INR
259,SEC_01311,Alternatives,Counterparty_2,GBP
260,SEC_01283,Commodities,Counterparty_98,INR
261,SEC_01491,Equity,Counterparty_3,INR
262,SEC_01264,Commodities,Counterparty_29,USD
263,SEC_01527,Fixed Income,Counterparty_87,GBP
264,SEC_01608,Equity,Counterparty_48,INR
265,SEC_01566,Fixed Income,Counterparty_65,GBP
266,SEC_00351,Commodities,Counterparty_42,USD
267,SEC_00541,Commodities,Counterparty_6,GBP
268,SEC_00966,Real Estate,Counterparty_59,USD
269,SEC_01336,Commodities,Counterparty_81,INR
270,SEC_00962,Equity,Counterparty_19,INR
271,SEC_01623,Fixed Income,Counterparty_52,INR
272,SEC_01132,Alternatives,Counterparty_61,USD
273,SEC_00831,Fixed Income,Counterparty_2,EUR
274,SEC_00030,Real Estate,Counterparty_79,USD
275,SEC_00309,Alternatives,Counterparty_23,USD
276,SEC_01510,Alternatives,Counterparty_19,JPY
277,SEC_00046,Commodities,Counterparty_97,INR
278,SEC_01383,Real Estate,Counterparty_70,INR
279,SEC_00137,Real Estate,Counterparty_50,JPY
280,SEC_00775,Commodities,Counterparty_61,EUR
281,SEC_01599,Equity,Counterparty_19,GBP
282,SEC_01455,Commodities,Counterparty_94,INR
283,SEC_00556,Real Estate,Counterparty_22,INR
284,SEC_01275,Alternatives,Counterparty_3,USD
285,SEC_00433,Equity,Counterparty_5,EUR
286,SEC_00847,Real Estate,Counterparty_94,EUR
287,SEC_00207,Real Estate,Counterparty_67,EUR
288,SEC_00446,Commodities,Counterparty_60,EUR
289,SEC_01083,Fixed Income,Counterparty_39,JPY
290,SEC_01230,Real Estate,Counterparty_28,USD
291,SEC_01995,Fixed Income,Counterparty_1,JPY
292,SEC_00331,Equity,Counterparty_22,JPY
293,SEC_00596,Alternatives,Counterparty_45,GBP
294,SEC_00525,Fixed Income,Counterparty_51,USD
295,SEC_00749,Fixed Income,Counterparty_81,EUR
296,SEC_01182,Fixed Income,Counterparty_51,USD
297,SEC_01128,Fixed Income,Counterparty_28,EUR
298,SEC_00359,Fixed Income,Counterparty_30,GBP
299,SEC_00852,Equity,Counterparty_8,INR
300,SEC_01389,Real Estate,Counterparty_91,JPY
301,SEC_00555,Alternatives,Counterparty_41,GBP
302,SEC_01203,Real Estate,Counterparty_25,JPY
303,SEC_00358,Equity,Counterparty_59,EUR
304,SEC_01288,Equity,Counterparty_77,EUR
305,SEC_00755,Fixed Income,Counterparty_34,GBP
306,SEC_00549,Equity,Counterparty_39,INR
307,SEC_01898,Equity,Counterparty_71,INR
308,SEC_01377,Fixed Income,Counterparty_86,JPY
309,SEC_01882,Equity,Counterparty_97,EUR
310,SEC_01388,Equity,Counterparty_46,EUR
311,SEC_01274,Equity,Counterparty_38,INR
312,SEC_01144,Commodities,Counterparty_95,EUR
313,SEC_01216,Real Estate,Counterparty_33,EUR
314,SEC_00807,Commodities,Counterparty_22,GBP
315,SEC_01928,Real Estate,Counterparty_27,INR
316,SEC_01086,Fixed Income,Counterparty_63,INR
317,SEC_01234,Fixed Income,Counterparty_27,USD
318,SEC_01831,Real Estate,Counterparty_21,INR
319,SEC_01934,Real Estate,Counterparty_53,INR
320,SEC_00052,Alternatives,Counterparty_35,USD
321,SEC_01746,Real Estate,Counterparty_47,EUR
322,SEC_00313,Real Estate,Counterparty_50,EUR
323,SEC_01941,Fixed Income,Counterparty_10,JPY
324,SEC_01303,Fixed Income,Counterparty_28,EUR
325,SEC_00388,Equity,Counterparty_37,INR
326,SEC_01226,Equity,Counterparty_41,JPY
327,SEC_01963,Fixed Income,Counterparty_97,JPY
328,SEC_00139,Equity,Counterparty_61,EUR
329,SEC_01876,Commodities,Counterparty_51,JPY
330,SEC_00019,Commodities,Counterparty_8,USD
331,SEC_00321,Equity,Counterparty_58,JPY
332,SEC_00095,Equity,Counterparty_61,GBP
333,SEC_00130,Real Estate,Counterparty_33,USD
334,SEC_01129,Real Estate,Counterparty_19,INR
335,SEC_00945,Commodities,Counterparty_30,EUR
336,SEC_01221,Commodities,Counterparty_78,EUR
337,SEC_01954,Real Estate,Counterparty_14,GBP
338,SEC_00260,Real Estate,Counterparty_36,EUR
339,SEC_00987,Real Estate,Counterparty_7,INR
340,SEC_01063,Equity,Counterparty_34,JPY
341,SEC_01525,Fixed Income,Counterparty_50,EUR
342,SEC_00817,Commodities,Counterparty_32,INR
343,SEC_01155,Alternatives,Counterparty_42,USD
344,SEC_00154,Real Estate,Counterparty_33,INR
345,SEC_00553,Equity,Counterparty_14,GBP
346,SEC_01345,Commodities,Counterparty_89,INR
347,SEC_00122,Real Estate,Counterparty_28,EUR
348,SEC_01780,Equity,Counterparty_39,JPY
349,SEC_00757,Commodities,Counterparty_94,INR
350,SEC_01168,Commodities,Counterparty_31,GBP
351,SEC_01210,Alternatives,Counterparty_24,USD
352,SEC_00547,Alternatives,Counterparty_4,GBP
353,SEC_01235,Commodities,Counterparty_78,USD
354,SEC_00400,Equity,Counterparty_9,INR
355,SEC_01057,Real Estate,Counterparty_100,JPY
356,SEC_01183,Real Estate,Counterparty_70,GBP
357,SEC_00406,Commodities,Counterparty_24,JPY
358,SEC_01853,Real Estate,Counterparty_90,INR
359,SEC_00364,Alternatives,Counterparty_98,JPY
360,SEC_00980,Real Estate,Counterparty_65,JPY
361,SEC_01728,Fixed Income,Counterparty_87,GBP
362,SEC_01990,Alternatives,Counterparty_17,INR
363,SEC_00163,Alternatives,Counterparty_100,JPY
364,SEC_00764,Commodities,Counterparty_37,USD
365,SEC_00551,Commodities,Counterparty_50,EUR
366,SEC_00131,Real Estate,Counterparty_45,USD
367,SEC_01120,Real Estate,Counterparty_20,JPY
368,SEC_00653,Commodities,Counterparty_59,INR
369,SEC_01008,Equity,Counterparty_59,USD
370,SEC_00270,Real Estate,Counterparty_90,INR
371,SEC_01705,Equity,Counterparty_11,USD
372,SEC_00904,Alternatives,Counterparty_55,INR
373,SEC_01391,Fixed Income,Counterparty_84,JPY
374,SEC_00787,Equity,Counterparty_65,GBP
375,SEC_00365,Real Estate,Counterparty_77,USD
376,SEC_01934,Commodities,Counterparty_58,INR
377,SEC_01995,Commodities,Counterparty_100,USD
378,SEC_01458,Fixed Income,Counterparty_44,INR
379,SEC_00611,Fixed Income,Counterparty_77,INR
380,SEC_01085,Alternatives,Counterparty_14,GBP
381,SEC_00932,Equity,Counterparty_76,INR
382,SEC_01347,Fixed Income,Counterparty_52,USD
383,SEC_01753,Alternatives,Counterparty_34,JPY
384,SEC_00589,Alternatives,Counterparty_63,EUR
385,SEC_00208,Alternatives,Counterparty_27,INR
386,SEC_00348,Real Estate,Counterparty_12,EUR
387,SEC_00045,Fixed Income,Counterparty_38,JPY
388,SEC_00347,Commodities,Counterparty_100,EUR
389,SEC_00714,Alternatives,Counterparty_56,INR
390,SEC_01746,Commodities,Counterparty_65,USD
391,SEC_01864,Real Estate,Counterparty_90,GBP
392,SEC_00647,Equity,Counterparty_40,INR
393,SEC_00369,Real Estate,Counterparty_21,INR
394,SEC_00534,Real Estate,Counterparty_32,GBP
395,SEC_00358,Fixed Income,Counterparty_89,GBP
396,SEC_00495,Alternatives,Counterparty_12,GBP
397,SEC_00905,Real Estate,Counterparty_89,GBP
398,SEC_00060,Alternatives,Counterparty_26,GBP
399,SEC_00298,Commodities,Counterparty_36,INR
400,SEC_00059,Equity,Counterparty_16,EUR
401,SEC_01448,Equity,Counterparty_78,USD
402,SEC_00231,Commodities,Counterparty_34,INR
403,SEC_00797,Fixed Income,Counterparty_24,JPY
404,SEC_01719,Commodities,Counterparty_72,INR
405,SEC_00448,Commodities,Counterparty_91,INR
406,SEC_00613,Fixed Income,Counterparty_39,EUR
407,SEC_01650,Fixed Income,Counterparty_64,GBP
408,SEC_00368,Real Estate,Counterparty_77,JPY
409,SEC_00554,Alternatives,Counterparty_29,EUR
410,SEC_01053,Equity,Counterparty_31,USD
411,SEC_00988,Fixed Income,Counterparty_63,JPY
412,SEC_00277,Fixed Income,Counterparty_43,JPY
413,SEC_00609,Real Estate,Counterparty_19,EUR
414,SEC_00703,Real Estate,Counterparty_10,JPY
415,SEC_01403,Alternatives,Counterparty_56,INR
416,SEC_00831,Fixed Income,Counterparty_60,INR
417,SEC_00038,Fixed Income,Counterparty_43,GBP
418,SEC_01231,Real Estate,Counterparty_48,EUR
419,SEC_01730,Commodities,Counterparty_40,INR
420,SEC_01676,Alternatives,Counterparty_34,JPY
421,SEC_00289,Fixed Income,Counterparty_1,JPY
422,SEC_00975,Equity,Counterparty_19,INR
423,SEC_01517,Equity,Counterparty_1,EUR
424,SEC_01793,Real Estate,Counterparty_88,EUR
425,SEC_01249,Equity,Counterparty_25,USD
426,SEC_00452,Real Estate,Counterparty_68,EUR
427,SEC_00028,Commodities,Counterparty_88,INR
428,SEC_00702,Real Estate,Counterparty_84,USD
429,SEC_00757,Fixed Income,Counterparty_97,JPY
430,SEC_00334,Equity,Counterparty_28,INR
431,SEC_01397,Fixed Income,Counterparty_45,GBP
432,SEC_01851,Equity,Counterparty_99,GBP
433,SEC_00561,Equity,Counterparty_24,EUR
434,SEC_01325,Real Estate,Counterparty_44,USD
435,SEC_00204,Alternatives,Counterparty_2,USD
436,SEC_00379,Equity,Counterparty_23,JPY
437,SEC_00902,Equity,Counterparty_97,EUR
438,SEC_01139,Alternatives,Counterparty_78,USD
439,SEC_01044,Fixed Income,Counterparty_62,INR
440,SEC_01008,Equity,Counterparty_15,JPY
441,SEC_01621,Real Estate,Counterparty_32,USD
442,SEC_00912,Alternatives,Counterparty_87,GBP
443,SEC_00396,Alternatives,Counterparty_4,GBP
444,SEC_01789,Equity,Counterparty_84,USD
445,SEC_01076,Fixed Income,Counterparty_31,GBP
446,SEC_01684,Fixed Income,Counterparty_59,INR
447,SEC_01210,Commodities,Counterparty_71,JPY
448,SEC_01709,Commodities,Counterparty_1,INR
449,SEC_00353,Real Estate,Counterparty_69,GBP
450,SEC_01138,Equity,Counterparty_14,USD
451,SEC_00514,Fixed Income,Counterparty_94,USD
452,SEC_00546,Commodities,Counterparty_23,JPY
453,SEC_00282,Equity,Counterparty_71,GBP
454,SEC_00673,Equity,Counterparty_16,GBP
455,SEC_01194,Fixed Income,Counterparty_9,GBP
456,SEC_00606,Equity,Counterparty_98,EUR
457,SEC_00760,Alternatives,Counterparty_31,USD
458,SEC_01345,Commodities,Counterparty_61,GBP
459,SEC_00366,Real Estate,Counterparty_45,JPY
460,SEC_00520,Commodities,Counterparty_7,EUR
461,SEC_01857,Equity,Counterparty_57,GBP
462,SEC_00110,Alternatives,Counterparty_64,USD
463,SEC_00906,Commodities,Counterparty_2,EUR
464,SEC_01568,Fixed Income,Counterparty_6,INR
465,SEC_01587,Alternatives,Counterparty_61,JPY
466,SEC_00953,Commodities,Counterparty_34,USD
467,SEC_00680,Equity,Counterparty_17,INR
468,SEC_01602,Fixed Income,Counterparty_26,USD
469,SEC_01567,Equity,Counterparty_76,JPY
470,SEC_00959,Equity,Counterparty_20,GBP
471,SEC_00324,Fixed Income,Counterparty_41,INR
472,SEC_01976,Alternatives,Counterparty_58,INR
473,SEC_00012,Commodities,Counterparty_99,EUR
474,SEC_01823,Alternatives,Counterparty_99,GBP
475,SEC_01047,Fixed Income,Counterparty_54,JPY
476,SEC_01185,Commodities,Counterparty_29,EUR
477,SEC_00264,Fixed Income,Counterparty_48,INR
478,SEC_01726,Real Estate,Counterparty_95,USD
479,SEC_00380,Real Estate,Counterparty_77,JPY
480,SEC_01777,Alternatives,Counterparty_90,EUR
481,SEC_00080,Fixed Income,Counterparty_22,GBP
482,SEC_01295,Commodities,Counterparty_72,USD
483,SEC_00425,Alternatives,Counterparty_71,EUR
484,SEC_00616,Real Estate,Counterparty_5,JPY
485,SEC_00436,Real Estate,Counterparty_52,USD
486,SEC_00922,Real Estate,Counterparty_1,EUR
487,SEC_01102,Alternatives,Counterparty_45,EUR
488,SEC_01548,Commodities,Counterparty_40,JPY
489,SEC_00795,Real Estate,Counterparty_64,GBP
490,SEC_01135,Alternatives,Counterparty_11,USD
491,SEC_00991,Alternatives,Counterparty_52,EUR
492,SEC_00452,Equity,Counterparty_96,JPY
493,SEC_01438,Equity,Counterparty_7,EUR
494,SEC_00260,Commodities,Counterparty_51,JPY
495,SEC_00822,Real Estate,Counterparty_93,JPY
496,SEC_01375,Equity,Counterparty_94,EUR
497,SEC_01954,Commodities,Counterparty_21,JPY
498,SEC_00708,Equity,Counterparty_39,USD
499,SEC_00852,Real Estate,Counterparty_44,JPY
500,SEC_01208,Alternatives,Counterparty_57,GBP
501,SEC_00658,Real Estate,Counterparty_41,GBP
502,SEC_00175,Equity,Counterparty_39,JPY
503,SEC_00712,Real Estate,Counterparty_20,USD
504,SEC_01724,Alternatives,Counterparty_22,INR
505,SEC_01642,Fixed Income,Counterparty_29,INR
506,SEC_01979,Alternatives,Counterparty_46,USD
507,SEC_01410,Equity,Counterparty_68,GBP
508,SEC_01913,Alternatives,Counterparty_3,JPY
509,SEC_00585,Commodities,Counterparty_73,EUR
510,SEC_01296,Real Estate,Counterparty_5,JPY
511,SEC_01750,Fixed Income,Counterparty_56,JPY
512,SEC_00186,Fixed Income,Counterparty_67,INR
513,SEC_00652,Real Estate,Counterparty_89,JPY
514,SEC_01925,Real Estate,Counterparty_32,INR
515,SEC_00167,Commodities,Counterparty_97,EUR
516,SEC_00143,Alternatives,Counterparty_82,JPY
517,SEC_00493,Fixed Income,Counterparty_100,USD
518,SEC_00072,Equity,Counterparty_41,JPY
519,SEC_01368,Real Estate,Counterparty_29,USD
520,SEC_00499,Real Estate,Counterparty_66,INR
521,SEC_00147,Fixed Income,Counterparty_11,JPY
522,SEC_01637,Real Estate,Counterparty_59,INR
523,SEC_01525,Fixed Income,Counterparty_95,USD
524,SEC_01362,Equity,Counterparty_4,INR
525,SEC_01109,Equity,Counterparty_93,GBP
526,SEC_01841,Fixed Income,Counterparty_54,USD
527,SEC_00891,Real Estate,Counterparty_67,INR
528,SEC_00807,Commodities,Counterparty_2,JPY
529,SEC_00846,Commodities,Counterparty_100,INR
530,SEC_01167,Alternatives,Counterparty_78,EUR
531,SEC_00891,Commodities,Counterparty_48,USD
532,SEC_01335,Real Estate,Counterparty_68,INR
533,SEC_01393,Commodities,Counterparty_44,GBP
