HoldingDate,ClientID,FundID,SecurityID,UnitsHeld,MarketValue
2023-07-04,6571,672,4135,12279,4500455.83
2022-04-10,1601,6447,904,46337,4500455.83
2023-09-06,1926,5043,5452,9049,4500455.83
2024-12-23,854,3026,566,3363,4500455.83
2023-08-19,1310,5322,3755,20147,4500455.83
2024-05-22,840,1809,140,6034,4500455.83
2023-07-13,492,3992,552,2876,4500455.83
2024-05-18,6582,5715,1390,33491,4500455.83
2023-05-15,3274,1087,4449,16431,4500455.83
2022-07-29,281,2182,1778,16473,4500455.83
2023-03-10,5802,6326,77,39615,4500455.83
2024-08-27,3452,5556,2828,15038,4500455.83
2023-03-20,1352,4066,5285,29531,4500455.83
2022-09-22,1663,3505,3719,28478,4500455.83
2024-11-11,6589,2420,2118,39481,4500455.83
2022-02-23,6822,5625,1705,13331,4500455.83
2022-02-11,5156,5028,1412,32639,4500455.83
2022-07-16,2601,2800,4567,34850,4500455.83
2024-09-30,6959,659,3267,45327,4500455.83
2023-07-05,2800,3582,4774,37708,4500455.83
2023-10-01,5079,2689,3227,41584,4500455.83
2024-12-01,6914,6443,1373,25709,4500455.83
2024-05-26,3234,5197,3165,22745,4500455.83
2024-12-09,6664,665,3237,46214,4500455.83
2023-08-25,4664,2380,2683,5120,4500455.83
2024-08-14,5728,1949,5050,21548,4500455.83
2022-06-15,6411,6363,1416,14689,4500455.83
2024-08-26,6615,2138,2426,26049,4500455.83
2024-02-13,3142,6472,3918,48814,4500455.83
2024-02-12,4682,1688,4056,30095,4500455.83
2024-06-30,4855,1300,3549,17401,4500455.83
2023-02-20,5187,2863,193,45819,4500455.83
2024-03-29,5260,4990,3338,3751,4500455.83
2022-10-11,6077,4564,1299,46852,4500455.83
2024-02-04,5889,1857,39,49605,4500455.83
2023-01-25,6862,3160,5805,35757,4500455.83
2022-09-13,5980,6378,5296,32828,4500455.83
2023-09-21,3595,1465,4855,14865,4500455.83
2024-05-28,5736,2328,230,8189,4500455.83
2022-10-12,1261,983,2887,31550,4500455.83
2024-09-08,6786,1981,4056,9671,4500455.83
2023-01-15,1276,4346,1110,27109,4500455.83
2024-03-24,4230,3810,2832,44768,4500455.83
2024-10-23,6296,6345,2411,16679,4500455.83
2023-05-12,5924,4192,5575,46627,4500455.83
2023-04-19,642,3260,1234,2660,4500455.83
2023-10-14,2559,1283,2659,13161,4500455.83
2023-10-13,3523,5734,1201,10142,4500455.83
2024-05-19,6042,1889,3710,47438,4500455.83
2022-01-26,6301,4813,3928,43349,4500455.83
2023-08-15,1396,1510,403,23926,4500455.83
2022-03-01,4224,2057,3027,9546,4500455.83
2024-06-19,6919,2049,4075,34933,4500455.83
2022-05-17,1852,2573,4801,5925,4500455.83
2024-02-04,1348,4837,5245,13995,4500455.83
2024-08-19,5886,2379,4758,9994,4500455.83
2023-04-15,6479,5029,5407,43198,4500455.83
2023-11-13,5271,1357,5662,48500,4500455.83
2023-02-08,3180,4855,2911,32762,4500455.83
2022-03-18,5608,2722,672,11103,4500455.83
2024-02-24,5782,705,3115,38537,4500455.83
2023-10-23,5352,2357,5137,13205,4500455.83
2024-03-28,3911,1093,3036,30996,4500455.83
2023-10-18,3378,1640,1634,16373,4500455.83
2024-06-11,5842,1760,5438,33531,4500455.83
2024-01-21,5118,1211,5905,5336,4500455.83
2024-10-19,6502,3973,1725,7842,4500455.83
2022-12-31,5721,4740,1926,10619,4500455.83
2023-03-09,5168,448,1008,3917,4500455.83
2022-06-04,4352,3316,3081,10647,4500455.83
2022-04-18,4367,5695,4511,25906,4500455.83
2024-05-14,2554,3138,414,45616,4500455.83
2023-07-24,3053,2372,5179,44553,4500455.83
2022-03-24,1083,3991,841,29694,4500455.83
2024-10-28,2281,5327,3466,46555,4500455.83
2024-05-09,3920,2467,5478,20401,4500455.83
2023-06-20,410,4150,4928,32696,4500455.83
2023-06-06,2983,5605,5537,36109,4500455.83
2024-06-06,328,5314,5123,28094,4500455.83
2024-02-19,1179,1885,2269,37932,4500455.83
2022-11-11,3699,1486,5351,9660,4500455.83
2024-04-29,3060,4438,4988,10680,4500455.83
2022-04-14,1662,6039,1742,11499,4500455.83
2024-03-01,3497,947,271,29586,4500455.83
2024-05-11,3773,1048,4343,39910,4500455.83
2024-12-14,749,2068,2547,36753,4500455.83
2022-04-27,6432,2334,4048,17738,4500455.83
2024-08-30,4867,3411,993,34235,4500455.83
2023-11-29,5342,5059,3164,49048,4500455.83
2024-02-04,251,2420,5583,40583,4500455.83
2022-10-22,5309,4194,2829,41341,4500455.83
2022-04-05,4241,2338,723,35853,4500455.83
2024-02-23,3721,2821,4363,23730,4500455.83
2023-06-09,6585,4731,1448,39594,4500455.83
2022-04-30,4978,4783,4320,22127,4500455.83
2024-05-09,2567,2567,3766,29527,4500455.83
2023-11-25,3360,2639,61,16244,4500455.83
2022-06-27,4701,6202,4795,28342,4500455.83
2022-07-30,5690,3637,2922,10271,4500455.83
2023-10-06,3026,3922,2640,32372,4500455.83
2024-02-07,6767,351,3473,25047,4500455.83
2023-03-23,5765,5479,2545,205,4500455.83
2022-05-28,5218,2698,3213,4770,4500455.83
2023-04-07,5415,3332,2189,2046,4500455.83
2022-01-19,655,1991,3820,38851,4500455.83
2023-11-10,6470,566,769,24107,4500455.83
2023-06-03,4328,218,1152,27358,4500455.83
2022-10-10,2924,3575,547,16157,4500455.83
2022-04-26,4533,606,3794,13550,4500455.83
2023-09-01,955,5699,4476,25652,4500455.83
2022-09-11,4995,4984,4268,41922,4500455.83
2022-01-24,3225,5568,2106,48667,4500455.83
2022-03-05,57,6007,2945,42465,4500455.83
2023-04-27,2023,200,4566,7093,4500455.83
2023-09-01,5939,2452,1630,26637,4500455.83
2024-05-03,762,288,4946,48417,4500455.83
2024-08-18,4271,1937,193,31898,4500455.83
2024-03-16,3491,3056,5891,49465,4500455.83
2024-05-09,3974,6182,2682,24216,4500455.83
2023-10-18,409,382,5578,32049,4500455.83
2023-03-07,6033,1127,5552,6738,4500455.83
2023-02-02,1975,2264,5080,29619,4500455.83
2024-01-07,5994,5433,5479,32693,4500455.83
2023-11-13,926,4249,1566,21730,4500455.83
2024-02-28,3996,4338,1195,29175,4500455.83
2023-02-07,4803,310,3070,6482,4500455.83
2024-10-23,6736,1192,3360,8011,4500455.83
2022-12-05,5610,331,3171,34251,4500455.83
2024-06-29,1152,218,1335,5028,4500455.83
2023-10-20,5882,4221,2063,25138,4500455.83
2024-04-04,5274,3977,4770,26429,4500455.83
2022-11-11,4051,6020,999,23830,4500455.83
2024-04-06,1361,2712,2786,24409,4500455.83
2022-04-21,2345,4364,5202,18205,4500455.83
2022-08-02,61,1255,99,2921,4500455.83
2024-11-06,6841,4905,4887,41501,4500455.83
2023-09-23,2076,480,1911,17296,4500455.83
2023-11-09,2452,2161,690,19138,4500455.83
2024-12-10,6182,4972,2866,45115,4500455.83
2022-07-31,6494,2439,2003,46517,4500455.83
2022-02-28,6285,6064,1373,47309,4500455.83
2022-12-24,5005,791,424,35416,4500455.83
2023-06-06,6176,4688,3442,49591,4500455.83
2022-10-16,3675,2948,580,9490,4500455.83
2023-12-28,3735,3442,1707,45905,4500455.83
2022-06-08,1079,3650,1389,41505,4500455.83
2024-11-15,6821,2549,5327,43545,4500455.83
2023-12-28,608,4321,1621,22406,4500455.83
2022-02-14,1936,813,3242,40562,4500455.83
2022-01-25,5387,3128,1405,26750,4500455.83
2023-01-03,5716,1518,5219,42127,4500455.83
2022-08-07,2571,1920,3306,29301,4500455.83
2024-09-19,6001,4751,3400,9911,4500455.83
2023-02-17,2969,5267,1999,13413,4500455.83
2022-10-28,1133,4155,5764,33573,4500455.83
2022-10-26,2084,3420,2364,43537,4500455.83
2024-10-11,238,1307,3098,39718,4500455.83
2023-11-12,1709,1496,5321,8963,4500455.83
2022-05-22,4916,2487,1068,31689,4500455.83
2022-09-09,675,1253,311,22995,4500455.83
2024-07-04,25,442,5298,6617,4500455.83
2022-07-18,642,1075,3359,22266,4500455.83
2024-03-08,1458,925,5830,12078,4500455.83
2024-10-05,539,824,4990,17314,4500455.83
2024-05-26,5042,2026,383,172,4500455.83
2024-12-25,2596,355,2108,9877,4500455.83
2022-05-20,5779,51,5523,43616,4500455.83
2024-11-27,1898,2902,3269,14294,4500455.83
2023-09-01,794,256,5637,36388,4500455.83
2022-03-11,1441,4333,2324,35717,4500455.83
2023-12-01,900,3813,2670,9040,4500455.83
2023-11-30,1730,1492,1264,4622,4500455.83
2024-08-09,3230,6353,4278,24212,4500455.83
2024-04-05,4809,6231,1997,39932,4500455.83
2022-11-25,5186,596,1993,25963,4500455.83
2022-08-01,184,1846,3452,37264,4500455.83
2022-12-28,6877,3620,4430,1301,4500455.83
2022-11-07,5630,915,2445,38578,4500455.83
2023-12-21,266,1020,4207,10026,4500455.83
2024-04-30,2472,4887,993,19429,4500455.83
2024-06-04,3656,5707,1840,27488,4500455.83
2022-10-15,3385,2109,1751,40942,4500455.83
2022-04-26,3778,1,3038,17061,4500455.83
2023-11-18,2909,3760,1727,1907,4500455.83
2023-09-19,6931,2131,3755,39986,4500455.83
2024-07-27,3477,4679,5860,29620,4500455.83
2022-10-25,4040,496,4814,6276,4500455.83
2022-04-28,2360,2558,3980,5597,4500455.83
2024-01-07,6128,3429,3931,44924,4500455.83
2023-11-17,3773,6417,2361,12165,4500455.83
2024-01-28,1688,1536,3549,23843,4500455.83
2023-01-21,480,3308,199,17874,4500455.83
2022-07-11,2566,266,3849,37755,4500455.83
2024-03-18,6354,1982,2772,14074,4500455.83
2024-06-25,5931,292,2416,1797,4500455.83
2022-11-03,6085,1958,4332,3235,4500455.83
2022-06-28,4140,4907,3518,9142,4500455.83
2022-07-22,2157,3271,4900,13923,4500455.83
2024-09-17,4224,201,5344,10119,4500455.83
2022-07-14,4116,446,1155,14780,4500455.83
2023-11-25,5891,5782,5233,40074,4500455.83
2022-03-23,2949,165,1808,27745,4500455.83
2023-02-09,681,3193,4483,10419,4500455.83
2024-04-22,4042,6430,2490,37270,4500455.83
2024-08-30,5535,4897,1175,37830,4500455.83
2023-07-26,2654,4207,504,36686,4500455.83
2023-08-02,5966,3441,5700,32330,4500455.83
2023-06-22,3022,2582,2726,45789,4500455.83
2024-05-18,4701,6314,969,9634,4500455.83
2022-03-31,4293,4240,5986,32601,4500455.83
2022-12-24,3076,1454,5358,49812,4500455.83
2023-02-09,2912,1297,616,47225,4500455.83
2022-07-07,155,3832,5949,43529,4500455.83
2024-08-30,6753,4572,5281,11626,4500455.83
2024-12-17,6864,785,3667,18192,4500455.83
2022-01-18,717,225,1381,22049,4500455.83
2024-04-22,1138,2931,1219,37155,4500455.83
2024-05-07,3579,5740,2616,49228,4500455.83
2024-05-22,5079,1239,3773,15684,4500455.83
2022-08-12,5703,742,5670,32862,4500455.83
2024-01-19,4902,4998,3611,41768,4500455.83
2024-02-01,4304,5041,3825,47767,4500455.83
2024-08-18,3671,5393,552,4432,4500455.83
2023-10-09,1256,589,5894,31808,4500455.83
2023-10-15,4068,5226,3808,4080,4500455.83
2024-08-30,3412,3859,1840,21387,4500455.83
2023-10-19,5680,4031,2834,38779,4500455.83
2023-09-23,2852,5906,5792,18590,4500455.83
2024-09-03,3118,3489,4052,15061,4500455.83
2022-08-26,4356,2818,292,19501,4500455.83
2024-01-08,4415,575,5271,27452,4500455.83
2023-10-17,2210,3180,1038,21793,4500455.83
2024-12-30,5077,3673,2094,43708,4500455.83
2023-11-06,2973,2839,4739,23836,4500455.83
2024-09-04,215,5323,2833,20154,4500455.83
2024-04-26,6710,4485,4548,26241,4500455.83
2023-11-29,2001,2960,1338,44898,4500455.83
2024-07-27,2553,708,877,41026,4500455.83
2024-11-28,5611,905,5298,7322,4500455.83
2022-02-28,958,1150,1350,15910,4500455.83
2024-08-26,2930,3986,4576,31027,4500455.83
2023-12-14,787,4882,1763,40991,4500455.83
2022-02-02,1236,3129,3118,38581,4500455.83
2024-03-12,3485,5030,1211,6594,4500455.83
2024-12-15,5437,4294,3862,2105,4500455.83
2024-01-28,2171,5732,5020,1346,4500455.83
2022-04-06,2647,1755,130,6609,4500455.83
2023-03-24,283,6347,699,5145,4500455.83
2024-09-12,18,5946,3638,38191,4500455.83
2024-05-01,4700,4646,4162,27327,4500455.83
2024-04-26,5878,521,3007,12062,4500455.83
2023-11-11,2569,5965,1006,33289,4500455.83
2024-12-17,4953,5103,5019,32011,4500455.83
2022-05-31,6131,4562,5255,15650,4500455.83
2024-12-28,6355,2625,264,39923,4500455.83
2022-02-03,1384,2013,1238,15343,4500455.83
2023-10-26,5723,3064,658,15449,4500455.83
2023-02-14,273,293,2791,7644,4500455.83
2022-01-08,4736,5920,4060,42863,4500455.83
2024-05-23,4933,6034,5926,28938,4500455.83
2023-08-25,6341,5936,454,268,4500455.83
2023-11-23,1783,5231,3579,12409,4500455.83
2022-12-13,5865,4304,245,17610,4500455.83
2022-07-26,5405,4219,1657,21573,4500455.83
2022-12-04,3618,1574,3780,15393,4500455.83
2022-05-08,1320,1467,5253,9819,4500455.83
2024-07-09,2774,2480,5975,40950,4500455.83
2024-10-29,5627,1025,5837,49335,4500455.83
2023-03-29,1182,4011,1853,45972,4500455.83
2023-09-19,3612,3841,2605,44558,4500455.83
2024-07-28,1324,5985,442,40985,4500455.83
2023-12-28,3616,138,3679,23644,4500455.83
2023-01-23,2341,3078,1528,19587,4500455.83
2024-05-12,6193,1513,1043,28492,4500455.83
2023-12-24,1246,877,5278,42210,4500455.83
2023-12-13,4322,3224,3959,42087,4500455.83
2023-01-02,1598,1990,1983,47967,4500455.83
2024-07-20,3820,2825,1140,16162,4500455.83
2024-11-30,416,5281,2878,18786,4500455.83
2022-05-05,188,2575,1914,34346,4500455.83
2024-08-22,5541,3556,5622,1244,4500455.83
2022-10-02,6920,5512,705,20162,4500455.83
2024-06-30,2137,370,5109,44442,4500455.83
2023-06-07,4140,5642,1615,24740,4500455.83
2024-10-25,2167,1682,3669,20209,4500455.83
2023-04-28,2579,5801,5206,27475,4500455.83
2022-09-04,2943,2795,4576,38403,4500455.83
2022-11-16,1913,3272,4250,49921,4500455.83
2022-01-17,3838,5977,4549,19699,4500455.83
2022-07-08,6168,5586,580,18261,4500455.83
2022-03-28,1387,5359,5097,24656,4500455.83
2023-11-25,5727,3717,3304,40514,4500455.83
2022-10-26,3350,1540,4744,15331,4500455.83
2024-10-19,4289,2923,1161,11780,4500455.83
2023-08-17,586,4104,2587,13314,4500455.83
2022-07-14,4294,3074,3037,42833,4500455.83
2022-08-04,5418,6019,669,28411,4500455.83
2023-05-22,3446,2846,2159,41943,4500455.83
2022-07-13,2479,1159,4938,19843,4500455.83
2023-04-13,2109,1522,1869,42253,4500455.83
2024-08-11,5703,5784,5185,35448,4500455.83
2023-12-14,6049,3190,1704,48743,4500455.83
2022-07-01,5816,4871,736,40286,4500455.83
2024-04-22,5846,3172,5584,33058,4500455.83
2023-03-12,2637,1281,3896,25147,4500455.83
2023-12-01,2738,5918,26,22420,4500455.83
2022-11-01,4830,3312,2679,7876,4500455.83
2024-12-12,3241,2624,33,22165,4500455.83
2023-03-12,1393,1506,1887,42184,4500455.83
2022-07-11,2680,1594,5832,22036,4500455.83
2022-10-21,6118,6214,4988,40974,4500455.83
2022-01-04,4907,4545,3737,45930,4500455.83
2023-03-27,1915,3674,5473,10574,4500455.83
2022-06-02,3378,2750,1758,48811,4500455.83
2024-12-23,4255,2216,1793,7617,4500455.83
2023-09-19,1915,578,3908,19986,4500455.83
2022-01-24,2539,1931,2853,39234,4500455.83
2024-12-24,5658,621,2328,22356,4500455.83
2022-02-21,4578,52,2648,49762,4500455.83
2022-06-28,2749,6462,4870,28630,4500455.83
2024-05-31,6577,4969,605,10052,4500455.83
2022-11-23,1744,4733,1997,4598,4500455.83
2022-01-25,1538,53,3420,12468,4500455.83
2024-10-02,346,4304,4367,37092,4500455.83
2023-12-10,3836,219,3359,15904,4500455.83
2022-11-02,4206,5177,3020,31844,4500455.83
2023-10-14,5894,6052,1681,36060,4500455.83
2023-06-16,4326,1495,3405,43905,4500455.83
2022-07-01,147,2936,3893,49978,4500455.83
2023-02-16,1940,5046,5417,19590,4500455.83
2023-11-21,73,2849,5713,19045,4500455.83
2024-02-26,6850,5584,3226,28893,4500455.83
2022-12-24,2277,3076,5468,10685,4500455.83
2024-12-21,2462,2734,4650,26559,4500455.83
2023-01-06,4257,3067,1952,8536,4500455.83
2024-02-14,3226,2449,3029,7987,4500455.83
2022-09-12,2622,287,2057,47983,4500455.83
2024-05-04,3376,5415,5221,15462,4500455.83
2023-08-28,1145,1503,627,29866,4500455.83
2024-09-21,1636,739,4741,44365,4500455.83
2022-12-02,4239,2710,2470,16201,4500455.83
2022-12-04,5730,342,4422,48484,4500455.83
2024-09-23,3471,3136,1615,45060,4500455.83
2024-10-19,973,5699,4818,24895,4500455.83
2022-11-10,1594,6325,4165,8644,4500455.83
2022-05-19,2265,2010,5545,14295,4500455.83
2022-09-25,3550,243,2122,28959,4500455.83
2023-05-22,5047,3674,1643,25032,4500455.83
2024-10-20,4816,2852,1488,3393,4500455.83
2023-03-04,2807,5973,3611,41592,4500455.83
2024-10-19,192,1712,881,66,4500455.83
2023-12-24,2983,3960,4776,9295,4500455.83
2022-05-13,5358,2673,3893,11833,4500455.83
2024-07-13,5674,2631,5375,25431,4500455.83
2023-01-02,6147,5327,1668,47512,4500455.83
2023-01-11,587,4989,1092,35516,4500455.83
2022-06-06,4511,4847,3152,23512,4500455.83
2022-11-29,2695,2690,3356,41247,4500455.83
2024-11-30,662,3986,285,25038,4500455.83
2024-02-08,2492,184,1017,20322,4500455.83
2024-12-22,6158,3210,3309,13426,4500455.83
2023-05-04,1607,5748,4410,22606,4500455.83
2023-09-26,413,6190,1169,43515,4500455.83
2023-08-17,3697,5186,1222,49488,4500455.83
2022-01-24,3022,3082,749,4993,4500455.83
2023-05-26,1655,6138,1165,7699,4500455.83
2024-10-26,4499,1723,4094,4991,4500455.83
2024-01-09,4167,4940,3818,11685,4500455.83
2024-04-16,5614,1903,1728,12772,4500455.83
2024-01-13,4758,2153,1468,32447,4500455.83
2023-01-04,4507,4629,701,28481,4500455.83
2022-12-04,5932,1841,2979,39130,4500455.83
2022-02-06,4044,3164,4313,1452,4500455.83
2022-03-29,3065,1795,4919,1925,4500455.83
2022-06-09,1441,4005,419,7515,4500455.83
2023-11-04,1481,1450,4428,27663,4500455.83
2022-03-13,5134,1733,934,36317,4500455.83
2022-06-22,1810,1664,5664,4868,4500455.83
2023-10-17,466,581,5273,26497,4500455.83
2023-11-10,434,4937,2273,45694,4500455.83
2024-11-21,3017,1662,2928,14317,4500455.83
2024-01-17,1259,1509,4476,42615,4500455.83
2022-12-26,2155,1270,5867,49425,4500455.83
2024-11-03,1735,631,5351,48107,4500455.83
2022-12-28,993,2813,4411,1689,4500455.83
2022-01-18,682,1279,4964,736,4500455.83
2023-12-25,2849,3447,4294,23975,4500455.83
2024-11-13,3815,6350,1465,14791,4500455.83
2024-02-23,5899,27,3369,19014,4500455.83
2022-05-19,6906,1941,644,40972,4500455.83
2024-07-06,4417,3671,2183,36656,4500455.83
2022-02-20,6603,1638,3871,22141,4500455.83
2023-11-07,4258,6468,1940,15417,4500455.83
2023-03-27,5256,5231,1173,43364,4500455.83
2022-01-14,320,4549,3837,46330,4500455.83
2024-10-01,4189,525,4889,36548,4500455.83
2024-02-02,1402,6387,866,30633,4500455.83
2024-06-10,4067,3566,5739,30064,4500455.83
2022-07-13,5320,3983,5600,12451,4500455.83
2022-12-31,5155,4498,3073,26158,4500455.83
2024-06-06,5492,1128,3535,48864,4500455.83
2023-06-22,1582,3313,5313,30475,4500455.83
2023-08-12,3219,4095,1049,39943,4500455.83
2024-11-08,3291,2332,4295,715,4500455.83
2024-09-11,1832,4037,1324,23299,4500455.83
