FundID,FundName,AssetClass,FundCurrency,InceptionDate
93,Fund_3,Fixed Income,USD,2024-03-11
94,Fund_24,Alternatives,GBP,2024-06-28
95,Fund_34,Fixed Income,JPY,2024-08-16
96,Fund_34,Equity,INR,2024-11-17
97,Fund_20,Equity,USD,2023-06-25
98,Fund_30,Commodities,JPY,2023-05-06
99,Fund_42,Commodities,GBP,2023-05-03
100,Fund_20,Real Estate,EUR,2024-03-01
101,Fund_41,Equity,GBP,2022-06-21
102,Fund_18,Commodities,USD,2022-02-07
103,Fund_38,Fixed Income,EUR,2022-10-26
104,Fund_20,Real Estate,EUR,2024-11-16
105,Fund_6,Alternatives,JPY,2023-10-10
106,Fund_42,Commodities,GBP,2024-01-18
107,Fund_25,Commodities,USD,2024-07-14
108,Fund_41,Equity,EUR,2022-01-13
109,Fund_41,Real Estate,JPY,2022-09-16
110,Fund_3,Equity,EUR,2024-09-06
111,Fund_44,Equity,GBP,2023-09-08
112,Fund_43,Real Estate,INR,2022-10-05
113,Fund_46,Fixed Income,USD,2024-08-11
114,Fund_19,Commodities,INR,2024-12-25
115,Fund_10,Equity,GBP,2024-03-18
116,Fund_5,Commodities,INR,2023-10-18
117,Fund_22,Real Estate,GBP,2024-02-22
118,Fund_9,Fixed Income,GBP,2023-05-14
119,Fund_33,Alternatives,JPY,2022-07-24
120,Fund_15,Fixed Income,INR,2023-08-10
121,Fund_24,Real Estate,EUR,2024-11-07
122,Fund_30,Fixed Income,GBP,2023-09-06
123,Fund_36,Alternatives,INR,2024-09-26
124,Fund_39,Equity,EUR,2023-10-06
125,Fund_6,Fixed Income,USD,2024-03-31
126,Fund_15,Real Estate,EUR,2022-02-27
127,Fund_38,Fixed Income,INR,2023-08-20
128,Fund_39,Alternatives,INR,2022-11-11
129,Fund_22,Real Estate,EUR,2022-06-11
130,Fund_3,Fixed Income,EUR,2022-11-20
131,Fund_29,Real Estate,GBP,2023-12-19
132,Fund_29,Alternatives,INR,2023-08-03
133,Fund_31,Equity,GBP,2024-06-17
134,Fund_45,Alternatives,GBP,2024-01-30
135,Fund_2,Equity,USD,2023-05-17
136,Fund_35,Commodities,INR,2022-02-26
137,Fund_45,Alternatives,GBP,2022-10-24
138,Fund_9,Equity,USD,2024-10-24
139,Fund_22,Commodities,GBP,2023-02-14
140,Fund_19,Commodities,GBP,2024-03-17
141,Fund_50,Commodities,INR,2023-09-12
142,Fund_37,Real Estate,EUR,2024-02-18
143,Fund_10,Alternatives,EUR,2024-02-18
144,Fund_46,Alternatives,INR,2023-07-20
145,Fund_21,Alternatives,EUR,2024-09-24
146,Fund_17,Alternatives,JPY,2022-06-15
147,Fund_3,Real Estate,EUR,2024-02-27
148,Fund_7,Alternatives,GBP,2023-10-28
149,Fund_41,Equity,GBP,2022-05-08
150,Fund_37,Commodities,USD,2022-03-17
151,Fund_36,Real Estate,INR,2024-06-05
152,Fund_3,Real Estate,USD,2024-02-21
153,Fund_13,Alternatives,GBP,2023-03-10
154,Fund_41,Commodities,GBP,2023-09-27
155,Fund_30,Equity,USD,2023-09-07
156,Fund_23,Commodities,JPY,2024-09-12
157,Fund_7,Fixed Income,EUR,2023-06-10
158,Fund_30,Commodities,JPY,2023-03-17
159,Fund_29,Equity,JPY,2023-08-10
160,Fund_8,Equity,JPY,2023-01-26
161,Fund_10,Equity,JPY,2022-09-01
162,Fund_33,Real Estate,EUR,2024-02-07
163,Fund_20,Real Estate,INR,2023-02-19
164,Fund_29,Fixed Income,USD,2023-03-03
165,Fund_29,Commodities,JPY,2022-09-06
166,Fund_21,Alternatives,JPY,2024-11-24
167,Fund_1,Fixed Income,USD,2024-04-18
168,Fund_34,Alternatives,USD,2022-09-10
169,Fund_44,Alternatives,INR,2024-05-11
170,Fund_32,Fixed Income,GBP,2024-03-29
171,Fund_45,Commodities,INR,2024-05-11
172,Fund_14,Alternatives,GBP,2022-07-29
173,Fund_37,Real Estate,EUR,2022-04-20
174,Fund_35,Real Estate,INR,2022-11-26
175,Fund_24,Fixed Income,EUR,2022-05-22
176,Fund_49,Alternatives,USD,2023-11-07
177,Fund_1,Fixed Income,INR,2022-03-28
178,Fund_46,Real Estate,USD,2022-05-20
179,Fund_6,Fixed Income,JPY,2023-11-05
180,Fund_49,Alternatives,USD,2022-01-26
181,Fund_4,Alternatives,JPY,2023-10-08
182,Fund_38,Real Estate,GBP,2024-06-29
183,Fund_1,Equity,JPY,2022-12-28
184,Fund_41,Equity,GBP,2022-12-26
185,Fund_31,Commodities,JPY,2024-09-22
186,Fund_36,Real Estate,JPY,2022-03-18
187,Fund_9,Commodities,EUR,2022-04-05
188,Fund_41,Real Estate,EUR,2024-08-14
189,Fund_45,Alternatives,USD,2024-09-23
190,Fund_23,Real Estate,EUR,2022-08-06
191,Fund_31,Fixed Income,GBP,2023-01-03
192,Fund_29,Commodities,EUR,2022-02-21
193,Fund_49,Real Estate,USD,2023-11-18
194,Fund_21,Commodities,INR,2024-04-04
195,Fund_3,Real Estate,GBP,2022-02-02
196,Fund_26,Equity,INR,2024-05-21
197,Fund_6,Commodities,GBP,2023-10-06
198,Fund_20,Alternatives,USD,2023-03-01
199,Fund_47,Alternatives,EUR,2024-02-26
200,Fund_46,Real Estate,INR,2024-10-27
201,Fund_13,Alternatives,INR,2023-05-10
202,Fund_41,Alternatives,EUR,2024-01-09
203,Fund_23,Commodities,USD,2024-02-06
204,Fund_15,Real Estate,EUR,2023-11-27
205,Fund_46,Commodities,JPY,2022-07-18
206,Fund_31,Real Estate,JPY,2023-12-16
207,Fund_4,Alternatives,JPY,2023-03-11
208,Fund_11,Real Estate,INR,2022-10-15
209,Fund_2,Real Estate,INR,2023-12-20
210,Fund_16,Fixed Income,USD,2023-07-21
211,Fund_31,Real Estate,GBP,2024-03-21
212,Fund_48,Fixed Income,EUR,2023-02-12
213,Fund_39,Commodities,GBP,2024-07-05
214,Fund_43,Fixed Income,INR,2024-06-28
215,Fund_44,Commodities,EUR,2023-12-18
216,Fund_4,Real Estate,INR,2024-04-04
217,Fund_48,Commodities,USD,2024-10-22
218,Fund_28,Alternatives,EUR,2022-07-04
219,Fund_16,Real Estate,INR,2023-11-05
220,Fund_39,Fixed Income,JPY,2023-08-25
221,Fund_25,Equity,JPY,2024-02-02
222,Fund_13,Real Estate,INR,2022-01-22
223,Fund_5,Alternatives,GBP,2022-07-31
224,Fund_30,Commodities,USD,2023-04-22
225,Fund_1,Fixed Income,USD,2023-04-11
226,Fund_5,Fixed Income,INR,2024-09-15
227,Fund_14,Alternatives,USD,2022-06-21
228,Fund_11,Alternatives,EUR,2023-11-06
229,Fund_34,Real Estate,USD,2024-03-07
230,Fund_29,Equity,JPY,2022-09-01
231,Fund_18,Equity,INR,2023-02-25
232,Fund_15,Commodities,EUR,2023-01-14
233,Fund_46,Fixed Income,USD,2022-12-07
234,Fund_25,Real Estate,JPY,2024-08-11
235,Fund_30,Fixed Income,GBP,2023-11-02
236,Fund_45,Real Estate,USD,2022-05-03
237,Fund_2,Alternatives,JPY,2024-05-21
238,Fund_40,Commodities,JPY,2023-03-10
239,Fund_27,Alternatives,JPY,2022-07-07
240,Fund_49,Fixed Income,JPY,2024-11-03
241,Fund_15,Commodities,GBP,2022-03-11
242,Fund_32,Real Estate,INR,2023-10-13
243,Fund_20,Real Estate,JPY,2024-04-16
244,Fund_14,Commodities,INR,2023-08-14
245,Fund_27,Alternatives,GBP,2022-11-14
246,Fund_3,Commodities,GBP,2023-03-13
247,Fund_49,Alternatives,EUR,2022-08-15
248,Fund_3,Commodities,EUR,2022-06-29
249,Fund_13,Alternatives,JPY,2023-06-20
250,Fund_25,Equity,INR,2022-09-27
251,Fund_18,Commodities,GBP,2024-08-03
252,Fund_1,Alternatives,USD,2023-10-21
253,Fund_39,Fixed Income,EUR,2022-10-12
254,Fund_5,Fixed Income,EUR,2024-11-11
255,Fund_2,Commodities,USD,2022-01-02
256,Fund_30,Commodities,INR,2022-04-13
257,Fund_17,Real Estate,INR,2024-11-25
258,Fund_29,Alternatives,INR,2022-10-01
259,Fund_42,Commodities,JPY,2024-12-10
260,Fund_4,Fixed Income,JPY,2024-06-14
261,Fund_9,Fixed Income,USD,2022-01-17
262,Fund_21,Fixed Income,GBP,2023-03-12
263,Fund_43,Alternatives,USD,2024-05-07
264,Fund_12,Equity,GBP,2023-11-17
265,Fund_12,Commodities,USD,2022-09-20
266,Fund_50,Equity,JPY,2023-01-29
267,Fund_4,Alternatives,INR,2022-07-27
268,Fund_28,Commodities,EUR,2024-03-18
269,Fund_9,Real Estate,USD,2023-04-10
270,Fund_40,Commodities,USD,2022-12-24
271,Fund_32,Commodities,EUR,2022-12-20
272,Fund_13,Commodities,USD,2023-01-11
273,Fund_34,Commodities,INR,2024-09-15
274,Fund_19,Commodities,EUR,2022-01-18
275,Fund_14,Alternatives,EUR,2023-12-17
276,Fund_5,Commodities,INR,2023-04-30
277,Fund_27,Alternatives,INR,2024-10-22
278,Fund_28,Commodities,EUR,2024-08-07
279,Fund_26,Commodities,INR,2023-01-11
280,Fund_10,Alternatives,INR,2024-07-02
281,Fund_24,Commodities,INR,2023-07-20
282,Fund_17,Fixed Income,EUR,2024-05-14
283,Fund_16,Commodities,USD,2023-09-04
284,Fund_17,Real Estate,GBP,2024-11-28
285,Fund_1,Alternatives,EUR,2023-03-12
286,Fund_21,Commodities,GBP,2023-10-10
287,Fund_47,Commodities,INR,2022-12-28
288,Fund_49,Alternatives,INR,2023-07-16
289,Fund_43,Equity,USD,2022-03-24
290,Fund_22,Fixed Income,INR,2024-11-16
291,Fund_5,Fixed Income,GBP,2022-01-21
292,Fund_36,Commodities,EUR,2024-12-04
293,Fund_21,Alternatives,EUR,2024-08-11
294,Fund_9,Real Estate,USD,2023-11-25
295,Fund_27,Commodities,GBP,2024-03-08
296,Fund_48,Fixed Income,INR,2023-04-24
297,Fund_12,Commodities,JPY,2024-05-12
298,Fund_18,Alternatives,USD,2023-10-18
299,Fund_35,Real Estate,USD,2024-02-02
300,Fund_15,Equity,JPY,2023-09-10
301,Fund_50,Real Estate,EUR,2023-12-12
302,Fund_44,Commodities,EUR,2022-12-03
303,Fund_30,Fixed Income,EUR,2024-02-07
304,Fund_45,Alternatives,JPY,2024-03-29
305,Fund_33,Commodities,INR,2023-01-20
306,Fund_36,Equity,INR,2024-10-17
307,Fund_40,Alternatives,GBP,2024-12-13
308,Fund_30,Alternatives,GBP,2023-08-15
309,Fund_26,Alternatives,EUR,2024-04-10
310,Fund_21,Commodities,JPY,2024-12-17
311,Fund_37,Equity,USD,2023-05-18
312,Fund_43,Commodities,INR,2022-07-08
313,Fund_31,Alternatives,JPY,2024-05-19
314,Fund_17,Alternatives,GBP,2023-08-02
315,Fund_17,Fixed Income,INR,2024-03-09
316,Fund_34,Real Estate,INR,2022-05-11
317,Fund_24,Commodities,JPY,2023-11-09
318,Fund_33,Equity,GBP,2024-08-06
319,Fund_4,Alternatives,JPY,2022-06-01
320,Fund_9,Commodities,USD,2024-07-10
321,Fund_2,Real Estate,INR,2023-12-14
322,Fund_35,Commodities,JPY,2024-03-15
323,Fund_38,Real Estate,JPY,2023-03-08
324,Fund_45,Commodities,USD,2022-01-28
325,Fund_15,Fixed Income,JPY,2022-12-21
326,Fund_43,Commodities,INR,2023-11-09
327,Fund_42,Fixed Income,EUR,2022-05-16
328,Fund_3,Real Estate,EUR,2024-12-27
329,Fund_31,Alternatives,GBP,2022-06-03
330,Fund_41,Alternatives,USD,2022-11-22
331,Fund_42,Commodities,GBP,2024-03-26
332,Fund_23,Equity,EUR,2022-04-18
333,Fund_12,Commodities,USD,2024-12-05
334,Fund_8,Fixed Income,JPY,2023-03-30
335,Fund_21,Fixed Income,JPY,2022-11-19
336,Fund_21,Real Estate,INR,2022-10-12
337,Fund_32,Commodities,EUR,2023-10-12
338,Fund_17,Real Estate,JPY,2024-01-19
339,Fund_37,Equity,USD,2023-03-25
340,Fund_24,Alternatives,JPY,2022-11-17
341,Fund_8,Alternatives,GBP,2022-10-05
342,Fund_18,Commodities,GBP,2023-09-04
343,Fund_11,Real Estate,GBP,2024-11-03
344,Fund_10,Real Estate,GBP,2023-02-18
345,Fund_26,Equity,GBP,2023-05-09
346,Fund_47,Real Estate,INR,2022-02-16
347,Fund_6,Fixed Income,GBP,2023-10-18
348,Fund_17,Fixed Income,INR,2024-02-08
349,Fund_23,Fixed Income,INR,2023-03-08
350,Fund_42,Commodities,JPY,2024-08-13
351,Fund_37,Fixed Income,USD,2023-01-12
352,Fund_28,Fixed Income,GBP,2024-11-13
353,Fund_16,Alternatives,USD,2024-06-27
354,Fund_12,Commodities,EUR,2022-11-21
355,Fund_21,Fixed Income,INR,2022-11-12
356,Fund_24,Equity,EUR,2022-08-09
357,Fund_28,Fixed Income,INR,2022-08-02
358,Fund_37,Commodities,GBP,2024-04-24
359,Fund_21,Real Estate,EUR,2023-01-20
360,Fund_33,Alternatives,JPY,2024-10-24
361,Fund_2,Alternatives,EUR,2024-05-26
362,Fund_37,Commodities,INR,2023-10-15
363,Fund_19,Fixed Income,INR,2022-10-14
364,Fund_28,Equity,USD,2023-01-19
365,Fund_15,Fixed Income,EUR,2024-10-14
366,Fund_1,Fixed Income,JPY,2024-04-26
367,Fund_43,Equity,GBP,2023-06-01
368,Fund_28,Alternatives,USD,2022-05-07
369,Fund_50,Fixed Income,EUR,2024-12-04
370,Fund_35,Real Estate,USD,2023-09-15
371,Fund_32,Real Estate,EUR,2022-10-17
372,Fund_28,Commodities,GBP,2023-11-28
373,Fund_9,Commodities,GBP,2022-06-06
374,Fund_24,Equity,JPY,2023-02-10
375,Fund_4,Equity,USD,2024-05-26
376,Fund_45,Commodities,JPY,2024-11-12
377,Fund_41,Fixed Income,EUR,2022-07-16
378,Fund_3,Alternatives,GBP,2023-04-24
379,Fund_48,Real Estate,GBP,2022-10-12
380,Fund_22,Equity,INR,2022-11-04
381,Fund_40,Commodities,INR,2022-12-11
382,Fund_39,Real Estate,JPY,2024-10-17
383,Fund_49,Equity,USD,2024-09-17
384,Fund_25,Equity,EUR,2023-02-02
385,Fund_48,Fixed Income,JPY,2024-02-24
386,Fund_22,Equity,GBP,2024-03-06
387,Fund_50,Alternatives,GBP,2023-09-28
388,Fund_48,Equity,GBP,2023-03-26
389,Fund_47,Alternatives,EUR,2024-02-11
390,Fund_34,Fixed Income,JPY,2023-11-12
391,Fund_20,Alternatives,EUR,2023-07-02
392,Fund_36,Real Estate,GBP,2022-08-17
393,Fund_37,Equity,INR,2022-09-01
394,Fund_39,Commodities,JPY,2022-03-06
395,Fund_27,Commodities,INR,2024-08-03
396,Fund_47,Alternatives,JPY,2024-10-23
397,Fund_49,Fixed Income,GBP,2024-11-26
398,Fund_32,Alternatives,INR,2024-09-28
399,Fund_42,Alternatives,INR,2022-01-03
400,Fund_29,Alternatives,JPY,2024-08-12
401,Fund_41,Real Estate,INR,2022-05-23
402,Fund_48,Real Estate,INR,2024-12-15
403,Fund_32,Alternatives,GBP,2022-03-02
404,Fund_24,Fixed Income,JPY,2022-03-09
405,Fund_3,Equity,JPY,2022-03-20
406,Fund_27,Commodities,USD,2023-01-02
407,Fund_9,Real Estate,JPY,2024-08-15
408,Fund_40,Equity,GBP,2023-06-10
409,Fund_23,Real Estate,INR,2023-01-25
410,Fund_7,Real Estate,USD,2023-06-05
411,Fund_17,Real Estate,INR,2022-09-10
412,Fund_37,Alternatives,JPY,2022-01-03
413,Fund_7,Alternatives,EUR,2023-11-27
414,Fund_30,Real Estate,INR,2022-02-15
415,Fund_13,Real Estate,JPY,2023-10-15
416,Fund_18,Commodities,GBP,2023-06-09
417,Fund_31,Equity,JPY,2023-02-22
418,Fund_22,Equity,USD,2024-09-28
419,Fund_14,Fixed Income,EUR,2024-12-02
420,Fund_18,Fixed Income,EUR,2024-06-14
421,Fund_35,Fixed Income,EUR,2023-11-27
422,Fund_17,Alternatives,GBP,2023-07-13
423,Fund_19,Alternatives,EUR,2024-07-19
424,Fund_31,Commodities,INR,2023-08-18
425,Fund_39,Alternatives,GBP,2024-05-16
426,Fund_36,Fixed Income,JPY,2023-01-19
427,Fund_15,Real Estate,USD,2024-12-31
428,Fund_29,Fixed Income,GBP,2022-08-05
429,Fund_40,Commodities,USD,2024-04-12
430,Fund_16,Real Estate,GBP,2024-03-16
431,Fund_33,Alternatives,JPY,2024-11-22
432,Fund_25,Real Estate,USD,2024-02-20
433,Fund_16,Commodities,GBP,2022-08-04
434,Fund_30,Alternatives,USD,2022-04-11
435,Fund_34,Equity,EUR,2023-04-15
436,Fund_2,Fixed Income,EUR,2022-06-29
437,Fund_40,Fixed Income,EUR,2023-10-01
438,Fund_44,Commodities,INR,2023-01-12
439,Fund_43,Commodities,EUR,2023-11-12
440,Fund_38,Fixed Income,EUR,2024-03-27
441,Fund_18,Real Estate,JPY,2022-10-07
442,Fund_5,Equity,USD,2024-04-28
443,Fund_47,Equity,USD,2024-01-23
444,Fund_40,Commodities,EUR,2022-09-07
445,Fund_6,Commodities,USD,2024-07-02
446,Fund_12,Real Estate,GBP,2024-02-12
447,Fund_12,Commodities,EUR,2023-10-03
448,Fund_12,Equity,EUR,2022-11-23
449,Fund_9,Fixed Income,INR,2024-06-08
450,Fund_42,Equity,GBP,2024-02-10
451,Fund_22,Real Estate,EUR,2023-01-12
452,Fund_49,Fixed Income,EUR,2024-11-04
453,Fund_50,Fixed Income,USD,2023-11-27
454,Fund_16,Equity,EUR,2023-04-26
455,Fund_4,Fixed Income,EUR,2024-11-05
456,Fund_50,Fixed Income,EUR,2023-07-29
457,Fund_3,Commodities,EUR,2023-04-30
458,Fund_16,Fixed Income,INR,2024-07-28
459,Fund_14,Real Estate,GBP,2022-09-14
460,Fund_41,Fixed Income,INR,2022-01-27
461,Fund_38,Commodities,USD,2024-11-14
462,Fund_4,Alternatives,JPY,2024-12-21
463,Fund_2,Alternatives,EUR,2022-08-21
464,Fund_10,Real Estate,USD,2022-12-15
465,Fund_11,Real Estate,JPY,2023-02-18
466,Fund_39,Fixed Income,EUR,2023-02-10
467,Fund_26,Fixed Income,EUR,2024-08-16
468,Fund_37,Alternatives,JPY,2023-05-31
469,Fund_26,Alternatives,INR,2024-10-06
470,Fund_4,Equity,JPY,2022-10-14
471,Fund_26,Alternatives,JPY,2022-11-03
472,Fund_38,Alternatives,GBP,2023-07-16
473,Fund_28,Real Estate,EUR,2024-02-21
474,Fund_2,Equity,EUR,2024-10-28
475,Fund_2,Equity,INR,2022-12-23
476,Fund_16,Fixed Income,INR,2023-08-04
477,Fund_23,Fixed Income,GBP,2022-05-19
478,Fund_23,Equity,GBP,2023-02-27
479,Fund_13,Equity,GBP,2023-02-01
480,Fund_21,Fixed Income,INR,2024-04-11
481,Fund_39,Real Estate,JPY,2022-11-01
482,Fund_25,Real Estate,EUR,2024-11-08
483,Fund_37,Real Estate,EUR,2022-08-14
484,Fund_49,Real Estate,USD,2024-04-30
485,Fund_13,Fixed Income,INR,2023-05-10
486,Fund_15,Commodities,INR,2023-09-19
487,Fund_28,Alternatives,GBP,2022-11-23
488,Fund_3,Alternatives,USD,2023-05-20
489,Fund_23,Alternatives,USD,2023-08-30
490,Fund_4,Alternatives,INR,2023-08-30
491,Fund_47,Fixed Income,GBP,2024-09-30
492,Fund_50,Commodities,EUR,2023-05-24
493,Fund_3,Fixed Income,GBP,2023-10-19
494,Fund_39,Commodities,EUR,2023-06-15
495,Fund_8,Fixed Income,INR,2022-02-06
496,Fund_43,Equity,GBP,2022-11-10
497,Fund_25,Commodities,USD,2022-08-08
498,Fund_41,Alternatives,JPY,2023-10-02
499,Fund_12,Commodities,USD,2023-02-08
500,Fund_5,Real Estate,EUR,2023-04-24
501,Fund_33,Commodities,INR,2023-12-23
502,Fund_46,Real Estate,GBP,2024-07-25
503,Fund_25,Real Estate,INR,2024-04-03
504,Fund_25,Equity,INR,2022-08-08
505,Fund_35,Commodities,EUR,2023-01-02
506,Fund_15,Equity,INR,2024-09-10
507,Fund_42,Alternatives,GBP,2023-11-15
508,Fund_26,Commodities,USD,2024-08-26
509,Fund_10,Fixed Income,INR,2024-11-21
510,Fund_24,Fixed Income,GBP,2024-10-15
511,Fund_35,Fixed Income,GBP,2024-12-13
512,Fund_29,Real Estate,EUR,2023-02-27
513,Fund_38,Fixed Income,INR,2024-09-30
514,Fund_5,Alternatives,EUR,2022-08-22
515,Fund_24,Commodities,USD,2024-04-08
516,Fund_19,Commodities,USD,2024-01-13
517,Fund_46,Real Estate,GBP,2024-09-13
518,Fund_49,Real Estate,INR,2024-05-28
519,Fund_44,Real Estate,GBP,2024-01-03
520,Fund_9,Alternatives,INR,2023-11-06
521,Fund_26,Commodities,EUR,2023-10-17
522,Fund_25,Equity,USD,2022-09-15
523,Fund_35,Real Estate,USD,2024-09-28
524,Fund_50,Fixed Income,EUR,2023-09-16
525,Fund_36,Equity,JPY,2022-04-09
526,Fund_14,Equity,JPY,2022-01-12
527,Fund_6,Real Estate,JPY,2024-03-23
528,Fund_32,Fixed Income,INR,2022-06-28
529,Fund_26,Real Estate,EUR,2024-10-27
530,Fund_15,Real Estate,INR,2022-06-01
531,Fund_49,Fixed Income,INR,2024-04-14
532,Fund_31,Equity,EUR,2023-08-05
533,Fund_37,Equity,INR,2023-07-19
534,Fund_38,Fixed Income,EUR,2022-07-15
535,Fund_37,Equity,JPY,2022-11-21
536,Fund_19,Alternatives,JPY,2023-04-27
537,Fund_14,Real Estate,INR,2022-07-27
538,Fund_36,Alternatives,USD,2024-07-24
539,Fund_37,Alternatives,EUR,2024-08-14
540,Fund_11,Alternatives,GBP,2023-03-02
541,Fund_27,Commodities,GBP,2024-12-21
542,Fund_2,Commodities,INR,2023-07-21
543,Fund_22,Alternatives,USD,2023-09-10
544,Fund_2,Real Estate,EUR,2024-08-02
545,Fund_20,Alternatives,JPY,2024-06-05
546,Fund_44,Alternatives,INR,2024-07-17
547,Fund_48,Commodities,EUR,2022-10-11
548,Fund_17,Alternatives,EUR,2024-12-16
549,Fund_4,Real Estate,EUR,2023-11-12
550,Fund_14,Real Estate,USD,2023-01-11
551,Fund_7,Alternatives,EUR,2023-01-11
552,Fund_15,Real Estate,USD,2024-02-11
553,Fund_30,Alternatives,USD,2024-02-27
554,Fund_16,Commodities,EUR,2023-01-08
555,Fund_40,Alternatives,JPY,2024-05-06
556,Fund_2,Equity,EUR,2022-09-01
557,Fund_19,Commodities,JPY,2024-02-01
558,Fund_1,Real Estate,INR,2024-11-28
559,Fund_31,Real Estate,GBP,2023-09-25
560,Fund_4,Commodities,INR,2022-03-27
561,Fund_27,Equity,USD,2022-04-09
562,Fund_25,Commodities,INR,2023-01-09
563,Fund_22,Fixed Income,GBP,2024-01-28
564,Fund_43,Equity,GBP,2023-09-17
565,Fund_10,Commodities,JPY,2024-09-09
566,Fund_50,Fixed Income,INR,2022-03-24
567,Fund_33,Alternatives,USD,2022-01-01
568,Fund_49,Equity,USD,2023-03-13
569,Fund_48,Alternatives,JPY,2023-11-17
570,Fund_44,Fixed Income,JPY,2022-09-07
571,Fund_30,Real Estate,INR,2023-02-14
572,Fund_30,Real Estate,JPY,2024-01-08
573,Fund_16,Real Estate,GBP,2023-05-05
574,Fund_9,Alternatives,USD,2022-08-27
575,Fund_17,Equity,GBP,2024-07-11
